Feature Indices,"[2, 4, 31, 56]"
Label Index,54
Iterations/Feature set,2
Number of combinations,42
Rounding Base,30
Alpha Values,"[0.001, 0.005, 0.01, 0.05, 0.1, 0.5, 1]"
Hidden Layer Comps,"[(500,), (500, 100), (1000,), (1000, 100), (1000, 200), (1000, 500)]"
Time to Run (Sec),48016.573073387146
CSV Input File Name,On_Time_On_Time_Performance_2015_7.csv
Valid Data,296522
Alpha Value,Hidden Layer Comp,Accuracy (%),Time/Loop (seconds)
0.1,"(1000, 500)",80.0043166826,1461.2948888540268
0.005,"(1000, 200)",79.8397431574,655.0374091863632
0.001,"(1000, 100)",79.8181597442,506.35653054714203
0.001,"(1000, 200)",79.8080425193,773.3884432315826
0.05,"(1000, 500)",79.5712994564,2556.3578120470047
0.05,"(500, 100)",79.4917106204,290.67093002796173
0.01,"(1000, 500)",79.4654058356,1194.0254836082458
1,"(1000, 100)",79.4465203491,384.41481494903564
0.05,"(1000, 200)",79.3891894079,919.9246717691422
0.005,"(500, 100)",79.387165963,334.9900680780411
0.05,"(1000,)",79.3736763297,319.12057542800903
0.01,"(1000, 200)",79.3635591048,848.2441716194153
0.5,"(1000, 200)",79.3527673983,773.8462473154068
0.5,"(500, 100)",79.3480460266,250.5348687171936
0.005,"(1000,)",79.3345563934,177.1086621284485
0.01,"(500,)",79.3284860585,168.393164396286
0.1,"(1000, 200)",79.2104517678,630.4814653396606
1,"(500, 100)",79.188193873,272.5957726240158
0.001,"(500, 100)",79.1801000931,304.4031517505646
0.005,"(500,)",79.1720063131,189.03056848049164
0.1,"(1000,)",79.152446345,173.70242309570312
0.05,"(500,)",79.1436780834,178.71588492393494
0.05,"(1000, 100)",79.1328863768,487.6273274421692
0.01,"(1000,)",78.9885473014,205.91551053524017
0.01,"(500, 100)",78.9764066315,363.29728615283966
0.005,"(1000, 100)",78.6836815907,489.03743410110474
0.5,"(1000,)",78.6755878108,296.2595989704132
1,"(500,)",78.6614236959,225.36034452915192
0.1,"(500,)",78.6384913194,169.1407252550125
1,"(1000, 200)",78.6324209845,622.3961794376373
0.5,"(500,)",78.5514831852,158.70890414714813
0.1,"(1000, 100)",78.5150611755,328.01001012325287
0.005,"(1000, 500)",78.4374957845,1332.7476553916931
0.001,"(1000,)",78.4111909997,207.28039598464966
0.001,"(500,)",78.334974572,146.49126553535461
0.5,"(1000, 100)",77.9248897222,413.0421177148819
0.01,"(1000, 100)",77.913423534,565.7243889570236
0.5,"(1000, 500)",77.7576182704,1247.4129983186722
1,"(1000, 500)",77.5896723368,1087.9536309242249
0.001,"(1000, 500)",77.5465055105,1705.8594278097153
0.1,"(500, 100)",77.0784152379,261.18310594558716
1,"(1000,)",76.8882114095,323.74097204208374
